Transfer Order Number,Transfer order item,Source storage unit,Material,Filler,Storage Unit Type,Filler,Source Storage Type,Source Storage Bin,Source target qty,Alternative Unit of Measure,Confirmation time,Confirmation date,Queue,Creation Date,Creation time,Dest.storage unit,Dest. Storage Type,Dest.Storage Bin
1005467855,6,53020000073293,7395552-06,,960,,P01,P01-S014,24,PC,1:00:55 AM,12/1/2020,,12/1/2020,1:00:03 AM,53020000073293,V02,LOADING
1005467855,7,53020000073293,7490957-03,,960,,P01,P01-S014,24,PC,1:00:55 AM,12/1/2020,,12/1/2020,1:00:03 AM,53020000073293,V02,LOADING
1005467855,8,53020000073293,7490958-03,,960,,P01,P01-S014,24,PC,1:00:55 AM,12/1/2020,,12/1/2020,1:00:03 AM,53020000073293,V02,LOADING
1005467855,9,53020000073293,8659800-04,,960,,P01,P01-S014,24,PC,1:00:55 AM,12/1/2020,,12/1/2020,1:00:03 AM,53020000073293,V02,LOADING
1005467855,10,53020000073293,8703396-02,,960,,P01,P01-S014,24,PC,1:00:55 AM,12/1/2020,,12/1/2020,1:00:03 AM,53020000073293,V02,LOADING
1005467855,11,53020000073293,8791395-01,,960,,P01,P01-S014,24,PC,1:00:55 AM,12/1/2020,,12/1/2020,1:00:03 AM,53020000073293,V02,LOADING
1005467855,12,53020000073293,9458489-04,,960,,P01,P01-S014,24,PC,1:00:55 AM,12/1/2020,,12/1/2020,1:00:03 AM,53020000073293,V02,LOADING
1005467855,13,53020000073293,9478615-01,,960,,P01,P01-S014,24,PC,1:00:55 AM,12/1/2020,,12/1/2020,1:00:03 AM,53020000073293,V02,LOADING
1005467855,14,53020000073293,9478616-01,,960,,P01,P01-S014,24,PC,1:00:55 AM,12/1/2020,,12/1/2020,1:00:03 AM,53020000073293,V02,LOADING
1005467855,15,53020000073293,7398013-05,,960,,P01,P01-S014,24,PC,1:00:55 AM,12/1/2020,,12/1/2020,1:00:03 AM,53020000073293,V02,LOADING
1005467855,16,53020000073293,7397493-05,,960,,P01,P01-S014,48,PC,1:00:55 AM,12/1/2020,,12/1/2020,1:00:03 AM,53020000073293,V02,LOADING
1005467855,17,53020000073293,7398000-07,,960,,P01,P01-S014,24,PC,1:00:55 AM,12/1/2020,,12/1/2020,1:00:03 AM,53020000073293,V02,LOADING
1005467855,18,53020000073293,7398012-04,,960,,P01,P01-S014,24,PC,1:00:55 AM,12/1/2020,,12/1/2020,1:00:03 AM,53020000073293,V02,LOADING
1005467855,19,53020000073293,7451978-06,,960,,P01,P01-S014,24,PC,1:00:55 AM,12/1/2020,,12/1/2020,1:00:03 AM,53020000073293,V02,LOADING
1005467855,20,53020000073293,7483756-04,,960,,P01,P01-S014,24,PC,1:00:55 AM,12/1/2020,,12/1/2020,1:00:03 AM,53020000073293,V02,LOADING
1005467855,21,53020000073293,7456903-04,,960,,P01,P01-S014,24,PC,1:00:55 AM,12/1/2020,,12/1/2020,1:00:03 AM,53020000073293,V02,LOADING
1005467855,22,53020000073293,7483755-04,,960,,P01,P01-S014,24,PC,1:00:55 AM,12/1/2020,,12/1/2020,1:00:03 AM,53020000073293,V02,LOADING
1005467855,23,53020000073293,7456904-04,,960,,P01,P01-S014,24,PC,1:00:55 AM,12/1/2020,,12/1/2020,1:00:03 AM,53020000073293,V02,LOADING
